name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
saurabh Chopra,52,Female,Rural,2025,Not able to vote,After announcement of candidates,PM candidate,BJP,No response,Don't know,No response,No response,Yes,No response,2,Other,Not sure,No,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Access to quality education is a significant concern.,Public transport systems have improved drastically.,There is a clear gap between his vision and execution.
sandeep Bose,28,Male,Urban,2020,Not able to vote,A day or two before voting,PM candidate,BSP,Really wanted to vote,Friends/neighbors,Other,Not at all,No,Much better,3,Other,Not sure,Yes,No,3,Improving infrastructure,No response,Rahul Gandhi,Public housing availability is still very low.,Support for startups has been promising.,His leadership is visionary but divisive at times.
sandeep Bose,28,Male,Urban,2021,Able to vote,Even before announcement of candidates,PM candidate,BJP,Really wanted to vote,Don't know,No response,Great deal,No,No response,4,National Security,Not sure,No,No,1,Other,No response,Narendra Modi,Corruption is still pervasive in many sectors.,Corruption scandals are less frequent but not eradicated.,Economic policies under him are bold but risky.
sandeep Bose,28,Male,Urban,2022,Able to vote,A day or two before voting,No response,BJP,No response,Don't know,No response,Great deal,Did not respond,No response,5,Economy,No,No,Yes,5,Modi's leadership,Statement 1: Promotes development,Narendra Modi,The lack of job security in the gig economy is troubling.,The infrastructure development has been remarkable.,The handling of economic crises is his weak point.
sandeep Bose,28,Male,Urban,2023,Not able to vote,No response,PM candidate,BJP,Really wanted to vote,Don't know,Did not feel like voting,Great deal,Don't know,Worse,5,Education,Not sure,Yes,No,3,Employment opportunities,No response,Narendra Modi,Accessibility for the differently-abled is often ignored.,Efforts on poverty alleviation show mixed results.,His policies have been harsh on small businesses.
sandeep Bose,28,Male,Urban,2024,Not able to vote,On the day of voting,Candidate,Not sure,Really wanted to vote,Local political leader,Was not in village/city,No response,No,Remained same,2,Economy,Yes,No,No,5,Modi's leadership,No response,Narendra Modi,Digital literacy is critical for inclusive growth.,Healthcare schemes are ambitious but lack execution.,He has a polarizing effect on the electorate.
sandeep Bose,28,Male,Urban,2025,Not able to vote,A day or two before voting,PM candidate,BJP,Really wanted to vote,Local political leader,Was ill,Great deal,Yes,Remained same,2,Economy,Yes,No,Don't know,5,No response,Statement 1: Promotes development,Narendra Modi,Environmental degradation is becoming a crisis.,Employment generation has not kept up with promises.,His policies have been harsh on small businesses.
Kabir ansari,30,Male,Suburban,2020,Not able to vote,After announcement of candidates,Candidate,BSP,No good alternative,Religious leader,Was ill,Somewhat,Don't know,Much better,3,Other,Not sure,No,No,2,Employment opportunities,No response,Narendra Modi,Public housing availability is still very low.,Corruption scandals are less frequent but not eradicated.,Economic policies under him are bold but risky.
Kabir ansari,30,Male,Suburban,2021,Able to vote,Even before announcement of candidates,Party,INC,Really wanted to vote,Family member,No response,No response,Yes,Better,2,Healthcare,Not sure,Yes,No,1,No response,No response,Other,Water scarcity is a growing challenge in arid regions.,Environmental conservation is not getting due priority.,His policies have been harsh on small businesses.
Kabir ansari,30,Male,Suburban,2022,Able to vote,No response,PM candidate,BSP,Really wanted to vote,"No one, I voted on my own",No response,Great deal,Don't know,Worse,5,Other,No,No,Don't know,4,Improving infrastructure,Statement 2: Important for the same party to remain,Other,Public housing availability is still very low.,Global relations have strengthened under this government.,His policies have been harsh on small businesses.
Kabir ansari,30,Male,Suburban,2023,Able to vote,During the campaign,Party,BSP,Really wanted to vote,Other,No response,Somewhat,Yes,Much worse,2,Economy,Yes,No,Yes,1,Employment opportunities,Statement 1: Promotes development,Other,Poverty alleviation programs are not reaching the grassroots.,Policy implementation varies significantly by state.,He has set a high bar for future leadership.
Kabir ansari,30,Male,Suburban,2024,Able to vote,On the day of voting,Party,Not sure,No good alternative,Don't know,No response,No response,Did not respond,Much worse,2,National Security,Not sure,Yes,Yes,5,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Digital literacy is critical for inclusive growth.,Efforts on poverty alleviation show mixed results.,His ability to connect with the masses is unmatched.
Kabir ansari,30,Male,Suburban,2025,Not able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Family member,Did not feel like voting,Great deal,Yes,No response,4,Education,Yes,Yes,No,5,Reducing poverty,Statement 1: Promotes development,No response,Healthcare in rural areas is inadequate.,Global relations have strengthened under this government.,The handling of economic crises is his weak point.
sumit Gupta,55,Non-binary,Suburban,2020,Not able to vote,After announcement of candidates,PM candidate,BJP,No good alternative,Caste/community leader,Did not have necessary documents,Great deal,Yes,Remained same,3,Other,Yes,No,Yes,3,Global image,Statement 1: Promotes development,Narendra Modi,Judicial delays are denying timely justice.,Skill development initiatives are showing results slowly.,He has a polarizing effect on the electorate.
sumit Gupta,55,Non-binary,Suburban,2021,Not able to vote,No response,No response,AAP,No good alternative,"No one, I voted on my own",Other,Great deal,Did not respond,Much better,5,Other,No,Yes,Don't know,3,Improving infrastructure,No response,Arvind Kejriwal,The divide between urban and rural areas is widening.,Support for startups has been promising.,His policies have been harsh on small businesses.
sumit Gupta,55,Non-binary,Suburban,2022,Able to vote,During the campaign,Candidate,BSP,No response,"No one, I voted on my own",No response,Somewhat,Did not respond,Much better,5,Education,No,No,Don't know,4,Employment opportunities,No response,Priyanka Gandhi,Environmental degradation is becoming a crisis.,Efforts on poverty alleviation show mixed results.,There is a clear gap between his vision and execution.
sumit Gupta,55,Non-binary,Suburban,2023,Not able to vote,No response,PM candidate,Not sure,No good alternative,Local political leader,Did not feel like voting,Not at all,Yes,Much worse,2,Healthcare,No,Yes,No,3,Reducing poverty,Statement 2: Important for the same party to remain,Rahul Gandhi,The divide between urban and rural areas is widening.,"Economic growth is visible, but inflation persists.",His policies have been harsh on small businesses.
sumit Gupta,55,Non-binary,Suburban,2024,Not able to vote,On the day of voting,Candidate,BSP,No response,"No one, I voted on my own",Was not in village/city,Great deal,No,Much worse,3,Economy,No,Yes,No,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi,The divide between urban and rural areas is widening.,Skill development initiatives are showing results slowly.,His governance style is centralized but effective.
sumit Gupta,55,Non-binary,Suburban,2025,Not able to vote,No response,Party,AAP,Really wanted to vote,Local political leader,Other,Not at all,Don't know,Better,1,Economy,No,Yes,Don't know,5,Other,No response,Arvind Kejriwal,Access to quality education is a significant concern.,"Defense upgrades are a good move, but expensive.",Social welfare programs have expanded under his tenure.
Nisha Bhatia,42,Female,Rural,2020,Able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Caste/community leader,No response,No response,Don't know,Better,2,Economy,No,Yes,No,5,Global image,Statement 2: Important for the same party to remain,Narendra Modi,The disparity in healthcare costs is concerning.,Employment generation has not kept up with promises.,Criticism on freedom of speech has grown under his tenure.
Nisha Bhatia,42,Female,Rural,2021,Able to vote,No response,No response,BJP,No good alternative,"No one, I voted on my own",No response,Great deal,Don't know,No response,3,Healthcare,Not sure,No,No,3,Modi's leadership,No response,Narendra Modi,The disparity in healthcare costs is concerning.,The infrastructure development has been remarkable.,His governance style is centralized but effective.
Nisha Bhatia,42,Female,Rural,2022,Not able to vote,No response,PM candidate,AAP,Really wanted to vote,Local political leader,No response,No response,Yes,Much worse,1,Economy,Not sure,No,Don't know,2,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal,Tax reforms should be simplified for small businesses.,Education initiatives are underfunded and overlooked.,His ability to connect with the masses is unmatched.
Nisha Bhatia,42,Female,Rural,2023,Able to vote,No response,Candidate,BJP,No good alternative,Don't know,No response,Not at all,Yes,Worse,5,Healthcare,Yes,No,Don't know,2,Employment opportunities,No response,Narendra Modi,The disparity in healthcare costs is concerning.,Corruption scandals are less frequent but not eradicated.,He has a polarizing effect on the electorate.
Nisha Bhatia,42,Female,Rural,2024,Not able to vote,On the day of voting,Party,BSP,Really wanted to vote,Friends/neighbors,Was not in village/city,No response,Did not respond,Much better,3,National Security,Not sure,No,Yes,4,Global image,Statement 2: Important for the same party to remain,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Social harmony remains a challenge for this government.,There is a clear gap between his vision and execution.
Nisha Bhatia,42,Female,Rural,2025,Able to vote,During the campaign,Party,BSP,Really wanted to vote,Caste/community leader,No response,Great deal,Did not respond,Better,2,Other,Not sure,No,Yes,2,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi,Women safety and empowerment need more focus.,Policy implementation varies significantly by state.,He has a strong focus on national security.
Meera Iyer,47,Non-binary,Urban,2020,Able to vote,No response,No response,BJP,No good alternative,Family member,No response,Not at all,No,Much better,2,Economy,No,No,Yes,4,No response,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Technology integration in governance is appreciated.,Criticism on freedom of speech has grown under his tenure.
Meera Iyer,47,Non-binary,Urban,2021,Not able to vote,No response,Party,BJP,No response,Religious leader,Was ill,Great deal,Did not respond,Worse,2,Other,No,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Narendra Modi,Water scarcity is a growing challenge in arid regions.,Budget allocations favor the wealthy over the poor.,Economic policies under him are bold but risky.
