name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Vidya Agarwal,56,Female,Urban,2023,Able to vote,A day or two before voting,Candidate,BSP,Really wanted to vote,Friends/neighbors,Did not feel like voting,Great deal,Don't know,Worse,2,Economy,Not sure,Yes,Yes,4,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Vidya Agarwal,56,Female,Urban,2024,Not able to vote,Even before announcement of candidates,Party,AAP,Really wanted to vote,Don't know,Did not feel like voting,Not at all,Yes,Better,5,Healthcare,No,No,Yes,2,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi
Vidya Agarwal,56,Female,Urban,2025,Able to vote,No response,PM candidate,BJP,No response,Caste/community leader,Was ill,Not at all,Yes,Worse,5,Education,Not sure,Yes,No,4,Employment opportunities,No response,Narendra Modi
Ravi Bose,18,Non-binary,Urban,2020,Not able to vote,After announcement of candidates,PM candidate,INC,Really wanted to vote,Religious leader,Was not in village/city,Great deal,Yes,Much worse,5,National Security,Not sure,No,Yes,4,Improving infrastructure,No response,Arvind Kejriwal
Ravi Bose,18,Non-binary,Urban,2021,Able to vote,A day or two before voting,PM candidate,BJP,No good alternative,Friends/neighbors,Did not feel like voting,Somewhat,Did not respond,No response,4,National Security,Not sure,Yes,Don't know,4,Employment opportunities,Statement 1: Promotes development,Priyanka Gandhi
Ravi Bose,18,Non-binary,Urban,2022,Able to vote,On the day of voting,PM candidate,Not sure,No response,Other,Was not in village/city,Great deal,Yes,Remained same,4,Economy,No,Yes,No,3,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal
Ravi Bose,18,Non-binary,Urban,2023,Able to vote,After announcement of candidates,PM candidate,AAP,Really wanted to vote,Other,Did not have necessary documents,Great deal,Yes,Much better,1,Education,Not sure,Yes,Yes,5,Employment opportunities,Statement 1: Promotes development,Other
Ravi Bose,18,Non-binary,Urban,2024,Not able to vote,A day or two before voting,PM candidate,BJP,No good alternative,Local political leader,No response,Somewhat,Did not respond,Much worse,5,Education,No,Yes,Don't know,1,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
Ravi Bose,18,Non-binary,Urban,2025,Not able to vote,After announcement of candidates,Party,INC,No response,Don't know,Other,Somewhat,Did not respond,Better,4,Economy,No,Yes,No,5,Improving infrastructure,Statement 2: Important for the same party to remain,No response
Rohan Chopra,43,Female,Suburban,2020,Not able to vote,During the campaign,Candidate,BJP,No response,Family member,Other,No response,No,Worse,5,Healthcare,Yes,Yes,Don't know,4,Other,Statement 2: Important for the same party to remain,Other
Rohan Chopra,43,Female,Suburban,2021,Not able to vote,On the day of voting,PM candidate,Not sure,Really wanted to vote,Don't know,Other,No response,No,Worse,3,Economy,Not sure,No,Don't know,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal
Rohan Chopra,43,Female,Suburban,2022,Able to vote,Even before announcement of candidates,PM candidate,Not sure,Really wanted to vote,Other,Did not feel like voting,Not at all,Did not respond,Much worse,2,Education,Not sure,Yes,Yes,1,Employment opportunities,No response,Priyanka Gandhi
Rohan Chopra,43,Female,Suburban,2023,Able to vote,On the day of voting,Candidate,AAP,No response,Family member,Did not feel like voting,Not at all,Don't know,No response,5,National Security,Yes,Yes,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Rohan Chopra,43,Female,Suburban,2024,Not able to vote,On the day of voting,Party,AAP,No good alternative,"No one, I voted on my own",Other,Somewhat,Don't know,Much worse,3,National Security,Yes,No,Don't know,4,Modi's leadership,No response,Priyanka Gandhi
Rohan Chopra,43,Female,Suburban,2025,Not able to vote,On the day of voting,No response,Not sure,No good alternative,Local political leader,Was ill,Great deal,Yes,Remained same,1,Economy,Not sure,No,Don't know,2,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi
Anjali Mishra,40,Male,Urban,2020,Able to vote,A day or two before voting,Party,BSP,Really wanted to vote,Don't know,Other,Not at all,Did not respond,Much worse,4,Other,Not sure,Yes,No,4,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Anjali Mishra,40,Male,Urban,2021,Able to vote,No response,No response,BSP,Really wanted to vote,Don't know,Other,Great deal,Don't know,Much better,3,Economy,No,Yes,No,1,No response,Statement 1: Promotes development,Arvind Kejriwal
Anjali Mishra,40,Male,Urban,2022,Not able to vote,No response,No response,AAP,Really wanted to vote,Caste/community leader,No response,Great deal,Don't know,Much worse,2,Education,Not sure,No,Don't know,5,Reducing poverty,No response,Narendra Modi
Anjali Mishra,40,Male,Urban,2023,Able to vote,After announcement of candidates,Candidate,BSP,No good alternative,Other,Did not have necessary documents,Somewhat,Yes,Worse,1,Other,Yes,Yes,No,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal
Anjali Mishra,40,Male,Urban,2024,Not able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Religious leader,Was ill,Great deal,Yes,Remained same,4,Other,Yes,No,No,1,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi
Anjali Mishra,40,Male,Urban,2025,Not able to vote,During the campaign,No response,BSP,No response,Religious leader,Other,Not at all,No,Remained same,1,Other,Yes,Yes,No,4,Modi's leadership,No response,Arvind Kejriwal
Siddharth Nair,28,Female,Rural,2020,Not able to vote,No response,Candidate,BJP,No good alternative,Friends/neighbors,Did not feel like voting,Not at all,Did not respond,No response,2,Other,Yes,Yes,No,5,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
Siddharth Nair,28,Female,Rural,2021,Not able to vote,No response,Candidate,INC,Really wanted to vote,Family member,Did not feel like voting,No response,Did not respond,Better,3,Healthcare,Yes,Yes,No,5,No response,No response,Priyanka Gandhi
Siddharth Nair,28,Female,Rural,2022,Not able to vote,Even before announcement of candidates,No response,AAP,No response,Don't know,Was not in village/city,No response,Did not respond,No response,1,Healthcare,No,Yes,No,2,Other,Statement 1: Promotes development,Arvind Kejriwal
Siddharth Nair,28,Female,Rural,2023,Not able to vote,Even before announcement of candidates,Party,BSP,Really wanted to vote,Caste/community leader,Was ill,Not at all,Did not respond,Much better,5,National Security,Yes,Yes,Yes,4,Other,No response,Arvind Kejriwal
Siddharth Nair,28,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Candidate,BJP,No good alternative,Don't know,Did not feel like voting,No response,No,Much better,1,Other,No,No,Don't know,1,Employment opportunities,No response,Priyanka Gandhi
Siddharth Nair,28,Female,Rural,2025,Not able to vote,After announcement of candidates,PM candidate,BSP,No good alternative,Religious leader,Was not in village/city,No response,No,Worse,2,Other,No,No,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Other
sandeep khan,27,Female,Suburban,2020,Not able to vote,On the day of voting,Candidate,BJP,No good alternative,"No one, I voted on my own",Other,No response,Yes,Better,3,Education,No,No,Don't know,3,Other,Statement 1: Promotes development,Arvind Kejriwal
sandeep khan,27,Female,Suburban,2021,Able to vote,A day or two before voting,PM candidate,AAP,Really wanted to vote,Don't know,Was not in village/city,Great deal,Don't know,No response,5,Other,Not sure,Yes,Yes,5,Modi's leadership,Statement 1: Promotes development,Priyanka Gandhi
sandeep khan,27,Female,Suburban,2022,Not able to vote,A day or two before voting,Party,AAP,No good alternative,Other,Was not in village/city,Somewhat,Don't know,Worse,3,Other,Yes,Yes,Yes,5,Global image,No response,Rahul Gandhi
sandeep khan,27,Female,Suburban,2023,Able to vote,During the campaign,Candidate,BJP,No response,Religious leader,No response,Somewhat,Yes,Remained same,4,Economy,Not sure,No,Yes,2,No response,No response,Rahul Gandhi
sandeep khan,27,Female,Suburban,2024,Able to vote,Even before announcement of candidates,Party,INC,No response,"No one, I voted on my own",Was not in village/city,Somewhat,Did not respond,Better,5,Economy,No,Yes,Yes,2,Other,Statement 2: Important for the same party to remain,No response
sandeep khan,27,Female,Suburban,2025,Not able to vote,No response,No response,INC,No good alternative,Family member,Was ill,Not at all,Yes,Worse,2,Other,Yes,No,Don't know,3,No response,Statement 2: Important for the same party to remain,Other
Simran Sharma,50,Male,Rural,2020,Not able to vote,After announcement of candidates,PM candidate,AAP,Really wanted to vote,Other,Was not in village/city,Somewhat,Yes,Worse,2,Other,Not sure,Yes,No,2,Employment opportunities,No response,Priyanka Gandhi
Simran Sharma,50,Male,Rural,2021,Not able to vote,On the day of voting,No response,BSP,No good alternative,Other,Was ill,Great deal,Don't know,Worse,3,Economy,No,No,No,2,No response,No response,Other
Simran Sharma,50,Male,Rural,2022,Not able to vote,After announcement of candidates,No response,AAP,No good alternative,Don't know,No response,No response,Yes,Better,1,Healthcare,Yes,No,Yes,3,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Simran Sharma,50,Male,Rural,2023,Able to vote,After announcement of candidates,PM candidate,BSP,Really wanted to vote,"No one, I voted on my own",Other,Somewhat,Yes,Much better,5,Other,Yes,No,Yes,5,No response,Statement 1: Promotes development,Arvind Kejriwal
Simran Sharma,50,Male,Rural,2024,Not able to vote,No response,No response,INC,No good alternative,Local political leader,Did not feel like voting,Great deal,Yes,Much better,1,Healthcare,Not sure,No,Yes,1,Other,Statement 2: Important for the same party to remain,Narendra Modi
Simran Sharma,50,Male,Rural,2025,Not able to vote,A day or two before voting,Candidate,BSP,Really wanted to vote,Family member,Did not feel like voting,Somewhat,Don't know,Remained same,4,Other,No,No,No,2,Other,Statement 1: Promotes development,Narendra Modi
Sneha Patel,60,Female,Suburban,2020,Not able to vote,Even before announcement of candidates,No response,AAP,No response,Don't know,No response,No response,Yes,No response,2,National Security,Not sure,No,Yes,3,Reducing poverty,No response,Arvind Kejriwal
Sneha Patel,60,Female,Suburban,2021,Able to vote,A day or two before voting,PM candidate,BSP,No response,Local political leader,Did not feel like voting,Somewhat,Did not respond,Worse,3,Education,No,Yes,Don't know,1,Employment opportunities,No response,Arvind Kejriwal
Sneha Patel,60,Female,Suburban,2022,Able to vote,On the day of voting,Party,BJP,No response,Family member,Other,Somewhat,Don't know,Much worse,4,Education,No,No,Don't know,2,Other,Statement 1: Promotes development,No response
Sneha Patel,60,Female,Suburban,2023,Able to vote,No response,Candidate,BJP,No response,Don't know,Did not have necessary documents,Not at all,Yes,Better,5,Economy,Not sure,No,No,1,Other,Statement 1: Promotes development,Priyanka Gandhi
Sneha Patel,60,Female,Suburban,2024,Able to vote,No response,Party,Not sure,No good alternative,Don't know,Did not feel like voting,Not at all,No,Much better,3,Economy,No,No,Don't know,2,Modi's leadership,Statement 1: Promotes development,Priyanka Gandhi
Sneha Patel,60,Female,Suburban,2025,Not able to vote,Even before announcement of candidates,Candidate,BJP,No good alternative,Caste/community leader,Other,Not at all,Yes,Worse,2,Education,Yes,Yes,Yes,2,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Riya Verma,58,Female,Suburban,2020,Not able to vote,Even before announcement of candidates,No response,INC,Really wanted to vote,Friends/neighbors,No response,Somewhat,No,Worse,2,Other,No,No,Yes,1,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Riya Verma,58,Female,Suburban,2021,Not able to vote,During the campaign,No response,AAP,Really wanted to vote,Local political leader,Did not have necessary documents,Great deal,Don't know,Much better,5,Healthcare,No,No,Don't know,5,No response,Statement 1: Promotes development,Arvind Kejriwal
Riya Verma,58,Female,Suburban,2022,Not able to vote,Even before announcement of candidates,Party,BSP,No good alternative,Friends/neighbors,Was not in village/city,Not at all,Don't know,Much worse,2,Economy,Yes,No,Yes,5,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Riya Verma,58,Female,Suburban,2023,Not able to vote,Even before announcement of candidates,Party,INC,No response,Caste/community leader,Was not in village/city,Somewhat,Yes,Remained same,4,Economy,Not sure,No,Don't know,2,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Riya Verma,58,Female,Suburban,2024,Able to vote,A day or two before voting,Party,INC,Really wanted to vote,Caste/community leader,Was ill,Great deal,No,Better,3,Education,No,No,Don't know,4,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Riya Verma,58,Female,Suburban,2025,Not able to vote,No response,Candidate,INC,No good alternative,"No one, I voted on my own",Was ill,Not at all,Don't know,Much better,4,Other,No,Yes,Don't know,3,Improving infrastructure,No response,Other
Ishita Kumar,48,Male,Suburban,2020,Not able to vote,Even before announcement of candidates,Candidate,BJP,No good alternative,Caste/community leader,Did not have necessary documents,No response,No,Much worse,1,Other,Not sure,No,Yes,1,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Ishita Kumar,48,Male,Suburban,2021,Not able to vote,During the campaign,PM candidate,INC,No good alternative,Friends/neighbors,Was ill,No response,Don't know,Worse,4,Healthcare,Yes,No,No,4,Employment opportunities,Statement 1: Promotes development,No response
Ishita Kumar,48,Male,Suburban,2022,Not able to vote,During the campaign,Candidate,AAP,Really wanted to vote,Family member,Did not feel like voting,Great deal,Yes,Much worse,4,National Security,Yes,No,Don't know,1,No response,No response,No response
